,C/semester,total sessions,sess/popday,Number of Blocks,Block/pday,Avergae Block size,Norm Block,Early Sessions,Late/day,Combined Score,Rating,Score based Rating,Avg Break
0,9,23,4.6,10,2.0,2.3,0.25,4,1.666666667,,0,,1.2
1,10,23,4.6,9,1.8,2.555555556,0.25,5,1.0,,0,,1.75
2,7,16,4.0,6,1.5,2.666666667,0.25,3,1.0,,0,,3.0
3,5,12,3.0,4,1.0,3.0,0.25,1,2.0,,1,,
4,5,12,2.4,5,1.0,2.4,0.0625,1,0.0,,1,,
5,5,12,2.4,5,1.0,2.4,0.0625,1,2.0,,1,,
6,6,14,2.8,5,1.0,2.8,0.25,1,2.0,,1,,
7,11,26,5.2,10,2.0,2.6,0.25,2,1.75,,1,,1.2
8,10,23,4.6,6,1.2,3.833333333,0.25,5,1.0,,0,,1.3333333333333333
9,8,18,4.5,5,1.25,3.6,1.0,2,1.333333333,,0,,1.0
10,5,12,3.0,5,1.25,2.4,0.25,1,1.0,,1,,1.0
11,5,12,4.0,4,1.333333333,3.0,0.25,1,1.5,,1,,1.0
12,5,12,3.0,5,1.25,2.4,0.25,2,1.0,,1,,1.0
13,5,12,3.0,5,1.25,2.4,0.25,1,1.5,,1,,1.0
14,5,12,3.0,5,1.25,2.4,0.25,2,1.0,,1,,1.0
15,6,14,3.5,5,1.25,2.8,0.25,1,1.5,,1,,1.0
16,5,12,3.0,5,1.25,2.4,0.25,2,1.5,,1,,1.0
17,6,14,2.8,6,1.2,2.333333333,0.25,2,1.0,,1,,1.0
18,6,14,3.5,5,1.25,2.8,0.25,2,1.5,,1,,1.0
19,6,14,2.8,6,1.2,2.333333333,0.25,2,1.5,,1,,1.0
20,11,26,5.2,9,1.8,2.888888889,0.25,2,1.666666667,,0,,1.0
21,9,23,4.6,8,1.6,2.875,0.5625,2,2.666666667,,0,,1.0
22,10,22,4.4,10,2.0,2.2,0.25,4,1.666666667,,1,,1.2
23,5,12,4.0,4,1.333333333,3.0,0.25,1,2.0,,1,,1.0
24,5,12,3.0,4,1.0,3.0,0.25,1,2.0,,0,,
25,5,12,3.0,5,1.25,2.4,0.0625,1,1.5,,1,,3.0
26,6,14,3.5,5,1.25,2.8,0.25,1,2.0,,1,,1.0
27,11,26,5.2,9,1.8,2.888888889,0.25,3,1.25,,1,,1.25
28,9,23,4.6,7,1.4,3.285714286,0.25,1,2.0,,1,,1.0
29,10,22,4.4,7,1.4,3.142857143,0.25,5,1.333333333,,0,,1.6666666666666667
30,5,12,3.0,4,1.0,3.0,0.25,3,0.0,,1,,
31,5,12,3.0,4,1.0,3.0,0.5625,3,0.0,,0,,
32,5,12,4.0,3,1.0,4.0,0.25,3,0.0,,0,,
33,6,14,3.5,4,1.0,3.5,0.5625,3,0.0,,0,,
34,6,13,2.6,7,1.4,1.857142857,0.0,1,2.0,,1,,1.5
35,10,23,4.6,6,1.2,3.833333333,0.5625,4,1.5,,0,,2.0
36,8,18,3.6,7,1.4,2.571428571,0.25,4,2.0,,1,,2.0
37,5,12,3.0,5,1.25,2.4,0.0625,1,1.666666667,,1,,1.0
38,5,12,4.0,5,1.666666667,2.4,0.0625,1,1.666666667,,1,,1.5
39,5,12,3.0,5,1.25,2.4,0.0625,0,1.666666667,,1,,2.0
40,6,14,3.5,6,1.5,2.333333333,0.0625,1,1.666666667,,1,,1.5
41,6,15,3.0,8,1.6,1.875,0.0625,4,1.5,,0,,2.0
42,6,15,3.0,8,1.6,1.875,0.0625,2,1.666666667,,1,,1.6666666666666667
43,9,23,4.6,9,1.8,2.555555556,0.25,4,1.333333333,,0,,1.0
44,10,22,4.4,7,1.4,3.142857143,0.25,1,1.5,,1,,1.0
45,5,12,3.0,5,1.25,2.4,0.0625,2,1.0,,1,,2.0
46,5,12,3.0,5,1.25,2.4,0.0625,1,1.0,,1,,2.0
47,5,12,3.0,5,1.25,2.4,0.0625,2,1.0,,1,,3.0
48,6,14,3.5,6,1.5,2.333333333,0.0625,2,1.0,,1,,2.5
49,9,21,4.2,8,1.6,2.625,0.25,4,2.0,,0,,1.6666666666666667
50,9,20,4.0,9,1.8,2.222222222,0.25,4,1.666666667,,0,,2.75
51,10,23,4.6,9,1.8,2.555555556,0.25,4,1.5,,1,,1.5
52,6,14,3.5,6,1.5,2.333333333,0.0625,0,1.0,,1,,1.0
53,7,16,4.0,7,1.75,2.285714286,0.0625,0,1.0,,1,,1.0
54,4,9,3.0,3,1.0,3.0,0.25,1,0.0,,1,,
55,7,15,3.0,6,1.2,2.5,0.25,3,2.0,,0,,3.5
56,10,23,4.6,8,1.6,2.875,0.25,5,1.5,,1,,1.3333333333333333
57,6,14,3.5,5,1.25,2.8,0.25,3,1.0,,0,,1.0
58,7,16,3.2,6,1.2,2.666666667,0.25,3,1.0,,0,,1.0
59,4,9,3.0,4,1.333333333,2.25,0.0625,1,0.0,,1,,1.0
